Date,Open,High,Low,Close,Volume,stock_id
2015/1/2,24.77867668,24.78979985,23.87997952,24.32043076,212818400,AAPL
2015/1/5,24.08908014,24.16916218,23.44842557,23.63528252,257142000,AAPL
2015/1/6,23.69979404,23.89777416,23.27491425,23.63750839,263188400,AAPL
2015/1/7,23.84661367,24.06906343,23.73538879,23.96896172,160423600,AAPL
2015/1/8,24.29818667,24.94773952,24.18028688,24.88990211,237458000,AAPL
2015/1/9,25.06340948,25.19243073,24.51618338,24.91659355,214798000,AAPL
2015/1/12,25.04783955,25.05451277,24.20253158,24.30263329,198603200,AAPL
2015/1/13,24.7875737,25.09233044,24.22700112,24.51840973,268367600,AAPL
2015/1/14,24.2559179,24.57846932,24.13579485,24.42498016,195826400,AAPL
2015/1/15,24.46947139,24.48281783,23.72649007,23.76208115,240056000,AAPL
2015/1/16,23.8087939,23.93114193,23.4017105,23.57744598,314053200,AAPL
2015/1/20,23.98898318,24.24035251,23.69090129,24.18474007,199599600,AAPL
2015/1/21,24.2359002,24.70526932,24.0846343,24.36937141,194303600,AAPL
2015/1/22,24.52730516,25.01891881,24.40718211,25.0033474,215185600,AAPL
2015/1/23,24.98110981,25.30366129,24.80982253,25.13237572,185859200,AAPL
2015/1/26,25.30143294,25.43935239,25.09233134,25.15906525,222460000,AAPL
2015/1/27,25.0078027,25.02115084,24.25369811,24.27816772,382274800,AAPL
2015/1/28,26.1667639,26.2757655,25.65068054,25.65068054,585908400,AAPL
2015/1/29,25.87535707,26.51378851,25.70629477,26.44927788,337745600,AAPL
2015/1/30,26.33805112,26.69397038,25.99325332,26.0622139,334982000,AAPL
2015/2/2,26.260194,26.50933663,25.82196771,26.38921356,250956400,AAPL
2015/2/3,26.3602956,26.49154014,26.16231546,26.39366341,207662800,AAPL
2015/2/4,26.36029414,26.80741859,26.31802814,26.59609032,280598800,AAPL
2015/2/5,26.80378602,26.85068633,26.63182446,26.7859211,168984800,AAPL
2015/2/6,26.80379207,26.8551582,26.45316762,26.56036568,174826400,AAPL
2015/2/9,26.47548918,26.7635803,26.44868925,26.73678207,155559200,AAPL
2015/2/10,26.8372904,27.27948001,26.83505835,27.25044632,248034000,AAPL
2015/2/11,27.41793861,27.89809347,27.35764089,27.88916016,294247200,AAPL
2015/2/12,28.15269014,28.46981678,28.04326004,28.24202156,297898000,AAPL
2015/2/13,28.42514275,28.42514275,28.0611193,28.38047791,217088800,AAPL
2015/2/17,28.47204325,28.78247027,28.34474655,28.54797554,252609600,AAPL
2015/2/18,28.50331606,28.76014327,28.463117,28.74674416,179566800,AAPL
2015/2/19,28.69313335,28.81596423,28.65963557,28.68643379,149449600,AAPL
2015/2/20,28.72440144,28.92093086,28.59710645,28.92093086,195793600,AAPL
2015/2/23,29.03706774,29.70258331,28.95666963,29.70258331,283896400,AAPL
2015/2/24,29.68918473,29.83658183,29.29389375,29.51722145,276912400,AAPL
2015/2/25,29.38098776,29.38992277,28.61943958,28.76236916,298846800,AAPL
2015/2/26,28.76237661,29.2268987,28.2755238,29.1264019,365150000,AAPL
2015/2/27,29.03259998,29.1598984,28.63954447,28.68867683,248059200,AAPL
2015/3/2,28.86510566,29.09513292,28.65294502,28.82937241,192386800,AAPL
2015/3/3,28.8003321,28.92539503,28.60603475,28.88966179,151265200,AAPL
